;Country-Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;Serious-Critical;Tot Cases/1M pop;Deaths/1M pop;TotalTests;"Tests/
1M pop";Continent
186;Seychelles;11;; ;;;11;;112;;;;Africa
187;Sierra Leone;11;+1; ;;;11;;1;;;;Africa
188;Cabo Verde;10;;1 ;;1;8;;18;2;;;Africa
189;Suriname;10;;1 ;;6;3;;17;2;;;South America
190;Turks and Caicos;10;;1 ;;;9;;258;26;69;1782;North America
191;Gambia;9;;1 ;;2;6;;4;0.4;281;116;Africa
192;Nicaragua;9;;1 ;;4;4;;1;0.2;;;North America
193;Vatican City;8;; ;;2;6;;9988;;;;Europe
194;Mauritania;7;;1 ;;2;4;;2;0.2;527;113;Africa
195;St. Barth;6;; ;;4;2;;607;;;;North America
196;Timor-Leste;6;+2; ;;1;5;;5;;;;Asia
197;Western Sahara;6;; ;;;6;;10;;;;Africa
198;Burundi;5;;1 ;;;4;;0.4;0.08;;;Africa
199;Bhutan;5;; ;;2;3;;6;;1166;1511;Asia
200;Falkland Islands;5;; ;;1;4;;1437;;137;39368;South America
201;Sao Tome and Principe;4;; ;;;4;;18;;19;87;Africa
202;South Sudan;4;; ;;;4;;0.4;;;;Africa
203;Anguilla;3;; ;;1;2;;200;;;;North America
204;British Virgin Islands;3;; ;;2;1;;99;;;;North America
205;Caribbean Netherlands;3;; ;;;3;;114;;10;381;North America
206;Papua New Guinea;2;; ;;;2;;0.2;;72;8;Australia/Oceania
207;Saint Pierre Miquelon;1;; ;;;1;;173;;;;North America
208;Yemen;1;; ;;;1;;0.03;;;;Asia
209;China;82249;+89;3341 ;;77738;1170;116;57;2;;;Asia
