;Country-Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;Serious-Critical;Tot Cases/1M pop;Deaths/1M pop;TotalTests;"Tests/
1M pop";Continent
0;North America;628976;+1912;25220;+108;47798;555958;13885;;;;;North America
1;Europe;923078;+15692;81778;+1789;240123;601177;29271;;;;;Europe
2;Asia;315341;+5101;11570;+219;154325;149446;6458;;;;;Asia
3;South America;55255;+561;2286;+38;9915;43054;1167;;;;;South America
4;Oceania;7857;+58;70;+4;4227;3560;85;;;;;Australia/Oceania
5;Africa;16306;+362;840;+2;3136;12330;178;;;;;Africa
